,title,date
0,Deep Advances in Generative Modeling,5 points by gwulfs 2 hours ago  | discuss
1,A Neural Network in 11 lines of Python ,2 points by dekhtiar 2 hours ago  | discuss
2,"Python, Machine Learning, and Language Wars",3 points by pmigdal 5 hours ago  | discuss
3,Markov Chains Explained Visually,10 points by zeroviscosity 22 hours ago  | 1 comment
4,Dplython: Dplyr for Python,10 points by thenaturalist 1 day ago  | 3 comments
5,Inferring causal impact using Bayesian structural time-series models,7 points by Homunculiheaded 1 day ago  | 1 comment
6,A Billion Taxi Rides on Amazon EMR running Spark,3 points by marklit 1 day ago  | 1 comment
7,Tutorial: Web scraping and mapping breweries with import.io and R,3 points by jasdumas 1 day ago  | discuss
8,Extracting image metadata at scale,2 points by zachwill 21 hours ago  | discuss
9,The rise of greedy robots,4 points by yanir 1 day ago  | discuss
10,"Python for Data Structures, Algorithms, and Interviews",17 points by kokoubaby 4 days ago  | discuss
11,How To Become A Machine Learning Expert In One Simple Step,4 points by swanint 2 days ago  | discuss
12,Lift charts - A data scientist's secret weapon,14 points by datenheini 4 days ago  | 2 comments
13,Data Science Side Project,6 points by yashpatel5400 1 day ago  | 8 comments
14,Simple estimation of hierarchical events with petersburg,3 points by wdm0006 1 day ago  | discuss
15,Engineers Shouldn’t Write ETL: High Functioning Data Science Departments,9 points by legel 4 days ago  | 3 comments
16,Unsupervised Computer Vision: The Current State of the Art,6 points by carlosfaham 3 days ago  | discuss
17,What data visualization tools do /r/DataIsBeautiful OC creators use?,3 points by pmigdal 2 days ago  | discuss
18,Data Engineering at Slack: Twelve Mistakes I've Made In My First Three Months,13 points by gwulfs 5 days ago  | 2 comments
19,An unusual interactive machine learning challenge,4 points by gglumov 3 days ago  | discuss
20,Datumbox Machine Learning Framework 0.7.0 Released,4 points by datumbox 3 days ago  | discuss
21,Reshaping in Pandas,5 points by carlosgg 3 days ago  | discuss
22,Data science intro for math/phys background,14 points by pmigdal 6 days ago  | discuss
23,What machines can learn from Apple Watch: detecting undiagnosed heart condition,9 points by koukouhappy 5 days ago  | discuss
24,Neural Networks demystified,16 points by elyase 7 days ago  | discuss
25,Data Science Tools: The Biggest Winners and Losers,12 points by AnnaOnTheWeb 7 days ago  | discuss
26,10 Years of Open Source Machine Learning,9 points by tstonez 6 days ago  | 1 comment
27,Do jobs run in families?,5 points by Anon84 4 days ago  | 1 comment
28,Has your conversion rate changed? Bayesian timeseries analysis with Python,12 points by yummyfajitas 7 days ago  | discuss
29,"XGBoost4J: Portable Distributed XGboost in Spark, Flink and Dataflow",8 points by crowwork 7 days ago  | discuss
30,Introduction to Scikit Flow -  Simplified Interface to TensorFlow,7 points by lefish 7 days ago  | discuss
31,The Deep Roots of Javascript Fatigue,5 points by nikkielizdemere 6 days ago  | 1 comment
32,How to learn machine learning?,8 points by kiechu 7 days ago  | 1 comment
33,How do we make Data Tau work?,27 points by hal8 8 days ago  | 18 comments
34,"Machine Learning: An In-Depth, Non-Technical Guide — Part 4",7 points by innoarchitech 8 days ago  | discuss
35,Data Science Slack channel - Click for invite,7 points by jyotsna 8 days ago  | discuss
36,Genomic Data Visualization using Python,2 points by RadhouaneAniba 3 days ago  | discuss
37,Descriptive Statistics in SQL,5 points by nickhould 7 days ago  | discuss
38,How to Use Cohort Data to Analyze User Behavior,2 points by clevertap 3 days ago  | discuss
39,"Playing ""Moneyball"" on EA FIFA 16",16 points by aabb13 13 days ago  | 3 comments
40,Intellexer - Natural Language Processing and Text Mining REST API,16 points by j_downer 13 days ago  | discuss
41,Show DT: Datasets.co - An easy way to share and discover ml datasets,2 points by mrborgen86 3 days ago  | discuss
42,"An Ode To The Rice Cooker, The Smartest Kitchen Appliance I’ve Ever Owned",2 points by tfturing 3 days ago  | discuss
43,Making transparent how variations in analytical choices affect results,4 points by rahmaniacc 6 days ago  | discuss
44,[Ask DT] What are some rookie mistakes in R?,2 points by HKtemp 2 days ago  | discuss
